Id,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Date
7086361926,1,377,386,2016-04-15T00:00:00Z
7086361926,1,472,483,2016-04-19T00:00:00Z
7086361926,1,492,502,2016-04-20T00:00:00Z
7086361926,1,390,411,2016-04-21T00:00:00Z
7086361926,1,428,448,2016-04-22T00:00:00Z
7086361926,1,681,704,2016-04-24T00:00:00Z
7086361926,1,446,447,2016-04-25T00:00:00Z
7086361926,1,485,500,2016-04-26T00:00:00Z
7086361926,1,469,479,2016-04-27T00:00:00Z
7086361926,1,354,367,2016-04-28T00:00:00Z
7086361926,1,485,489,2016-04-30T00:00:00Z
7086361926,1,388,407,2016-05-01T00:00:00Z
7086361926,1,440,459,2016-05-02T00:00:00Z
7086361926,1,456,461,2016-05-03T00:00:00Z
7086361926,1,420,436,2016-05-04T00:00:00Z
7086361926,1,322,333,2016-05-06T00:00:00Z
7086361926,1,530,548,2016-05-07T00:00:00Z
7086361926,1,481,510,2016-05-08T00:00:00Z
7086361926,1,427,438,2016-05-09T00:00:00Z
7086361926,1,451,463,2016-05-11T00:00:00Z
7086361926,1,444,457,2016-05-12T00:00:00Z
8053475328,1,486,493,2016-04-20T00:00:00Z
8053475328,1,331,337,2016-04-23T00:00:00Z
8053475328,1,74,75,2016-05-07T00:00:00Z
8378563200,1,338,356,2016-04-12T00:00:00Z
8378563200,2,447,487,2016-04-13T00:00:00Z
8378563200,1,424,455,2016-04-14T00:00:00Z
8378563200,1,513,533,2016-04-15T00:00:00Z
8378563200,2,611,689,2016-04-16T00:00:00Z
8378563200,2,525,591,2016-04-17T00:00:00Z
8378563200,1,398,451,2016-04-18T00:00:00Z
8378563200,1,387,421,2016-04-19T00:00:00Z
8378563200,1,381,409,2016-04-20T00:00:00Z
8378563200,1,396,417,2016-04-21T00:00:00Z
8378563200,1,441,469,2016-04-22T00:00:00Z
8378563200,1,565,591,2016-04-23T00:00:00Z
8378563200,1,458,492,2016-04-24T00:00:00Z
8378563200,1,388,402,2016-04-25T00:00:00Z
8378563200,1,550,584,2016-04-26T00:00:00Z
8378563200,1,531,600,2016-04-27T00:00:00Z
8378563200,1,506,556,2016-04-28T00:00:00Z
8378563200,1,527,562,2016-04-29T00:00:00Z
8378563200,1,468,555,2016-04-30T00:00:00Z
8378563200,1,475,539,2016-05-01T00:00:00Z
8378563200,1,351,385,2016-05-02T00:00:00Z
8378563200,1,405,429,2016-05-03T00:00:00Z
8378563200,1,441,477,2016-05-04T00:00:00Z
8378563200,1,381,417,2016-05-05T00:00:00Z
8378563200,1,323,355,2016-05-06T00:00:00Z
8378563200,2,459,513,2016-05-07T00:00:00Z
8378563200,1,545,606,2016-05-08T00:00:00Z
8378563200,1,359,399,2016-05-09T00:00:00Z
8378563200,1,342,391,2016-05-10T00:00:00Z
8378563200,1,368,387,2016-05-11T00:00:00Z
8378563200,1,496,546,2016-05-12T00:00:00Z
8792009665,1,458,493,2016-04-12T00:00:00Z
8792009665,1,531,552,2016-04-13T00:00:00Z
8792009665,1,486,503,2016-04-14T00:00:00Z
8792009665,1,363,377,2016-04-15T00:00:00Z
8792009665,1,528,547,2016-04-20T00:00:00Z
8792009665,1,391,407,2016-04-22T00:00:00Z
8792009665,1,339,360,2016-04-23T00:00:00Z
8792009665,1,423,428,2016-04-27T00:00:00Z
8792009665,1,402,416,2016-04-28T00:00:00Z
8792009665,1,398,406,2016-04-29T00:00:00Z
8792009665,1,343,360,2016-04-30T00:00:00Z
8792009665,1,503,527,2016-05-01T00:00:00Z
8792009665,1,415,423,2016-05-02T00:00:00Z
8792009665,1,516,545,2016-05-03T00:00:00Z
8792009665,1,439,463,2016-05-04T00:00:00Z
